Unnamed: 0;LONGITUDE;LATITUDE;Climatologia-Mensal;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;mai/01;DESVIO DE MAIO/2001
68;-37,9988;-9,25634; Pariconha;48,1;48,2;72,4;57,4;60,8;68,3;72,2;37,2;19,0;15,0;16,7;34,3;4,2;-56,6
69;-35,552;-9,46313; Paripueira;69,2;84,6;127,6;189,8;232,1;260,6;247,5;161,3;88,8;59,6;43,5;38,6;33,4;-198,7
70;-35,4745;-9,24511; Passo de Camaragibe;73,0;87,7;138,6;184,8;221,9;256,4;243,7;158,0;83,5;54,6;42,6;39,8;30,5;-191,4
71;-36,3672;-9,36792; Paulo Jacinto;45,0;55,6;80,5;120,3;148,4;192,7;183,6;122,3;64,4;35,9;22,9;28,0;17,5;-130,9
72;-36,5819;-10,2874; Penedo;42,6;46,7;71,7;133,2;174,8;167,8;156,7;96,5;56,9;45,2;27,2;22,7;41,9;-132,9
73;-36,434;-10,406; Piaçabuçu;43,8;49,8;75,3;142,9;186,1;175,5;163,0;102,3;59,3;47,4;28,2;22,9;44,3;-141,8
74;-35,9543;-9,60135; Pilar;59,8;72,4;108,8;176,2;213,1;252,6;235,1;147,7;84,8;54,5;36,9;35,2;40,6;-172,5
75;-36,2918;-9,47382; Pindoba;45,8;58,2;85,5;130,5;160,4;202,5;190,2;124,6;67,2;39,6;25,2;28,7;24,2;-136,2
76;-37,757;-9,624; Piranhas;43,8;41,0;61,6;53,2;67,1;74,3;75,9;42,7;22,3;16,5;15,8;28,5;4,9;-62,2
77;-37,2889;-9,30742; Poço das Trincheiras;42,8;44,9;62,5;64,6;80,4;89,8;90,3;53,3;26,6;18,3;16,9;27,5;5,9;-74,5
78;-35,3987;-9,05195; Porto Calvo;75,6;90,4;144,8;184,9;220,6;258,1;248,2;157,7;81,8;52,3;42,5;40,8;30,2;-190,4
79;-35,3049;-9,16006; Porto de Pedras;74,9;89,5;144,3;186,1;222,0;257,3;245,6;156,9;82,1;52,9;42,7;40,3;31,5;-190,5
80;-36,8376;-10,1849; Porto Real do Colégio;40,6;41,3;63,3;109,4;148,9;146,4;135,7;83,7;51,5;39,5;24,7;21,2;36,0;-112,9
81;-36,4692;-9,32001; Quebrangulo;43,7;52,7;76,1;111,1;136,8;176,4;167,4;111,6;58,5;33,3;20,8;27,4;15,5;-121,3
82;-35,8394;-9,47783; Rio Largo;62,4;74,9;110,6;176,4;217,7;252,6;241,4;155,3;85,8;55,6;38,3;35,5;36,2;-181,5
83;-35,9782;-9,83503; Roteiro;58,3;70,6;107,2;177,8;216,5;249,6;231,0;143,9;83,7;55,0;36,6;35,0;43,8;-172,7
84;-35,8232;-9,6037; Santa Luzia do Norte;64,8;77,1;115,7;186,0;225,8;261,9;245,9;155,2;88,7;58,0;40,4;37,4;40,5;-185,3
85;-37,248;-9,36999; Santana do Ipanema;41,9;43,3;60,6;64,9;83,9;93,7;93,3;55,5;28,1;19,2;16,7;26,4;6,1;-77,8
86;-36,2176;-9,17141; Santana do Mundaú;50,8;60,0;89,0;128,1;160,9;207,8;198,4;136,8;68,4;39,4;26,1;31,4;20,0;-140,9
87;-36,0515;-9,01278; São José da Laje;55,1;62,3;96,7;135,6;169,6;213,1;204,3;142,1;69,4;41,9;29,2;32,6;21,6;-148,0
88;-37,3831;-9,55768; São José da Tapera;41,5;39,0;58,4;58,4;79,3;87,2;87,6;51,4;27,5;18,6;16,5;24,1;6,6;-72,7
89;-35,5606;-9,31816; São Luís do Quitunde;71,0;86,0;132,7;186,6;226,2;258,0;244,9;159,7;86,0;57,1;43,0;39,1;31,4;-194,8
90;-36,0971;-9,78301; São Miguel dos Campos;52,0;65,6;100,8;166,2;203,4;233,9;214,3;133,9;77,5;51,2;32,6;32,2;42,9;-160,5
91;-35,3763;-9,26493; São Miguel dos Milagres;74,8;89,4;144,2;186,1;222,0;257,3;245,6;156,9;82,1;52,9;42,7;40,3;31,4;-190,6
92;-36,559;-9,93043; São Sebastião;38,6;44,5;68,9;116,5;157,0;161,4;149,9;93,2;53,5;39,6;23,0;23,8;33,0;-124,0
93;-35,8227;-9,56911; Satuba;64,3;76,8;114,8;183,6;223,9;259,5;244,7;155,4;88,0;57,4;40,0;36,9;39,2;-184,7
94;-37,4576;-9,46986; Senador Rui Palmeira;42,6;41,5;60,7;58,1;77,1;85,6;87,2;50,3;26,2;18,0;16,4;25,8;5,9;-71,2
95;-36,4366;-9,53379; Tanque d'Arca;41,4;51,5;75,7;116,7;145,2;180,4;167,5;108,5;59,5;35,7;21,6;27,0;21,6;-123,6
96;-36,4928;-9,64529; Taquarana;39,1;48,1;71,5;112,3;142,5;170,0;155,7;99,0;55,5;35,2;20,9;26,1;23,3;-119,2
97;-36,3492;-9,91656; Teotônio Vilela;41,4;52,3;81,8;140,4;181,8;191,6;175,9;110,1;63,0;44,9;26,6;27,1;40,5;-141,3
98;-37,0071;-9,96262; Traipu;38,7;36,1;57,7;83,9;116,5;119,6;111,5;67,4;41,2;30,5;19,6;19,8;24,0;-92,5
99;-36,0223;-9,15921; União dos Palmares;56,0;65,4;97,0;143,8;181,9;225,2;218,0;150,4;74,1;45,4;31,2;33,1;23,4;-158,5
100;-36,2431;-9,36763; Viçosa;47,9;60,5;87,8;130,3;161,1;207,1;198,0;132,7;69,1;39,6;26,1;29,1;21,6;-139,5
101;-36,8521996;-10,1140957; São Brás;39,6;39,0;61,1;101,6;139,2;137,8;127,8;78,2;48,5;36,7;22,9;20,5;33,4;-105,8
